X,Y,Name,description,gx_media_links
106.6218853,10.7441971,Đường Kinh Dương Vương,"<img src=""https://doc-0s-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/hapkj8179dhk3frevvalgdd40s/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALrQA2ezZbYZPSp62Rok4KdIXfueUn7SzP5FO7i84LX7xcl7rxzb7Vt3c12i9wCmzHgb1BZ8-cwmIVFm-o2X07oJ0_KF7SbxW_6Oiuf246iFrTdOdpHZpIbqiWCFYAu3AutCz34_IMg8NNurlWlK2n5CoyQtY_rvaUTC6FUvYYSwhoDTbj-tTz4O1HxiiS1LAYXdFWcHdwFHTs9onZaHe9xGh23yBwgrVSufh1i6lDM9_Cj-2NCHpb5Mp4xEKbeNENS402LGEwq6HaZEc_ywOAvVuYv-_A?fife"" height=""200"" width=""auto"" /><br><br>Từ Vòng xoay Mũi Tàu - Hồ Học Lãm",https://doc-0s-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/hapkj8179dhk3frevvalgdd40s/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALrQA2ezZbYZPSp62Rok4KdIXfueUn7SzP5FO7i84LX7xcl7rxzb7Vt3c12i9wCmzHgb1BZ8-cwmIVFm-o2X07oJ0_KF7SbxW_6Oiuf246iFrTdOdpHZpIbqiWCFYAu3AutCz34_IMg8NNurlWlK2n5CoyQtY_rvaUTC6FUvYYSwhoDTbj-tTz4O1HxiiS1LAYXdFWcHdwFHTs9onZaHe9xGh23yBwgrVSufh1i6lDM9_Cj-2NCHpb5Mp4xEKbeNENS402LGEwq6HaZEc_ywOAvVuYv-_A?fife
106.6529077,10.8579315,Đường Lê Đức Thọ,"<img src=""https://doc-04-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/8a5tdj5ba6v41u41b0aluugtqs/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALpM_hoAtxzExDvcvQRQh4EjTKe4DPauNrm0PcscpToG_jpAzH8VtW8V-H0mHqLb7izpbS4t_I1C_hVJgmjmzoYbA1_3yshJzqHLWwOZVr8oh3xhJfvhdL0Az4bUTKbTRG_jXKFG6f5x1x0efO3qU-AlireQUwHoQBzXi14x9fwVZky3gChQSAkB1PJILQTIhHlYkB9vQ7au-D25vCDF1kD-NiBaE0i2NHwqNuw6VTU8aQFupNXUFsdkXOElbYFwmkPGzjIgau0w8drimpkPsrTOYxF81Q?fife"" height=""200"" width=""auto"" /><br><br>Từ Trường Tây Sơn - UBND P.13",https://doc-04-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/8a5tdj5ba6v41u41b0aluugtqs/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALpM_hoAtxzExDvcvQRQh4EjTKe4DPauNrm0PcscpToG_jpAzH8VtW8V-H0mHqLb7izpbS4t_I1C_hVJgmjmzoYbA1_3yshJzqHLWwOZVr8oh3xhJfvhdL0Az4bUTKbTRG_jXKFG6f5x1x0efO3qU-AlireQUwHoQBzXi14x9fwVZky3gChQSAkB1PJILQTIhHlYkB9vQ7au-D25vCDF1kD-NiBaE0i2NHwqNuw6VTU8aQFupNXUFsdkXOElbYFwmkPGzjIgau0w8drimpkPsrTOYxF81Q?fife
106.6389978,10.8450499,Đường Quang Trung,"<img src=""https://doc-0k-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/8h8d3ah70hjutetos2bg15rfjk/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALrmq59g_vPOxWpCAlEkX7r1q_HFrr_XPpw5XGP6vkJ-ToZs2gbWQbFif0ZngXO5e0APP9kIH5PuSeQeC3YGewbXt3f_LCRoMHvpZywFixXiu2tXkdEU2i8pEur7cq6cDj8gHC_st8z--3d63QskAyG_awRErtpVjo-I_oF_TOBmzbw1KFEIQIdNO27uy5GWk28OE7mf1D353UC_mpg9L6s9Q3LtyEIG58SKuvuKa6dnl2NP1brjEupWAgYU-QXPuZw704-M3r2dfFD9GK9IEPuaFho5bA?fife"" height=""200"" width=""auto"" /><br><br>Từ Phan Huy Ích - Cầu Chợ Cầu 2",https://doc-0k-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/8h8d3ah70hjutetos2bg15rfjk/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALrmq59g_vPOxWpCAlEkX7r1q_HFrr_XPpw5XGP6vkJ-ToZs2gbWQbFif0ZngXO5e0APP9kIH5PuSeQeC3YGewbXt3f_LCRoMHvpZywFixXiu2tXkdEU2i8pEur7cq6cDj8gHC_st8z--3d63QskAyG_awRErtpVjo-I_oF_TOBmzbw1KFEIQIdNO27uy5GWk28OE7mf1D353UC_mpg9L6s9Q3LtyEIG58SKuvuKa6dnl2NP1brjEupWAgYU-QXPuZw704-M3r2dfFD9GK9IEPuaFho5bA?fife
106.754601,10.8505609,Kha Vạn Cân,"<img src=""https://doc-0g-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/vfbev6jo62ub6fkqlns1driu04/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALqXiTllsxpuP1B-3863EWFKqQ6TyoWt_c-_5Sr28UVDzDxBUOpva-qP_v3g7SoyUNqFia98iNBLz8Lgv4RI30He8lgLgy7Ed5ez8JpTYi2Q3G5ob-LhWHcuRNoH-rd2f3Rktmo9TvytPV0oZ1IpHSxACrFGkYcBhjxHch-LN_nTluIf8D-EC4D8g6jMyM8Cx-DSi2Zi4afcHJxqU3uc_N51wB6m2zg3QPWs1iJJzx9hYE2LBvFPKw1f3Z-usvnaqKTAIn2IG4aLXXYkJJFueXtuSFjXqQ?fife"" height=""200"" width=""auto"" /><br><br>Từ Dương Văn Cam - Bưu điện Thủ Đức",https://doc-0g-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/vfbev6jo62ub6fkqlns1driu04/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALqXiTllsxpuP1B-3863EWFKqQ6TyoWt_c-_5Sr28UVDzDxBUOpva-qP_v3g7SoyUNqFia98iNBLz8Lgv4RI30He8lgLgy7Ed5ez8JpTYi2Q3G5ob-LhWHcuRNoH-rd2f3Rktmo9TvytPV0oZ1IpHSxACrFGkYcBhjxHch-LN_nTluIf8D-EC4D8g6jMyM8Cx-DSi2Zi4afcHJxqU3uc_N51wB6m2zg3QPWs1iJJzx9hYE2LBvFPKw1f3Z-usvnaqKTAIn2IG4aLXXYkJJFueXtuSFjXqQ?fife
106.7325533,10.8721241,Tỉnh lộ 43 ,"<img src=""https://doc-0k-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/u38r4jich48k8m9pvild43t08o/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALqGfl2ICUzZloefVdrP6cRG1qIRMmXD48x2K0p-bTs8-z3GS0fjuSCszOq8Dj4xCXOfU00R-Ebz_fC7TREiLKgWlTBRocMnrk1XvrFMx8wO8M78roNq32RKuqaLcTLUOncV2A0IlvZiZAr_EfynvJ4j06vnKRcB_fazXcaLcwbmSjzeiOkkdbxwp776BFd8Uvj_11ExcobfldgDJI44De5KQOBqel14578qb2ETDl2EaSnv_X5-e5hN0goydocBRNbSrSaZpe6lU4-J8K9nLIDycQdocw?fife"" height=""200"" width=""auto"" /><br><br>Từ Quốc lộ 1A - Bình Chiểu",https://doc-0k-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/u38r4jich48k8m9pvild43t08o/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALqGfl2ICUzZloefVdrP6cRG1qIRMmXD48x2K0p-bTs8-z3GS0fjuSCszOq8Dj4xCXOfU00R-Ebz_fC7TREiLKgWlTBRocMnrk1XvrFMx8wO8M78roNq32RKuqaLcTLUOncV2A0IlvZiZAr_EfynvJ4j06vnKRcB_fazXcaLcwbmSjzeiOkkdbxwp776BFd8Uvj_11ExcobfldgDJI44De5KQOBqel14578qb2ETDl2EaSnv_X5-e5hN0goydocBRNbSrSaZpe6lU4-J8K9nLIDycQdocw?fife
106.7307884,10.8675356,Đường Gò Dưa,"<img src=""https://doc-0s-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/8rj65bi60pto8rjoe6af4egjks/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALoEtDP-olnPKkVQYN-uVHZ0-tm0vSSu-4HT50Ln_HY0yADQEQMvmHE-VizE7otVmnPIw83gPd9R95wkb1ml1fUgfmGSh4g2LXyZfSwdHaF-54mv1uS-W-OM6HZoHuKN8_p-2z9efMiF-LO-TuMhEKGwhHOlZcBxm7lYiV2YUMxlp3HIKJX-Hrlvqnx_sq6s2OZhgZ8VhkIvctRvUkuR0q1vNt2cUm2V8cjDHyZyLRWSby4Xw-pOuiGCZ9zdECxluBrM7F7GHsywe6LdvlgX_f6lGeptog?fife"" height=""200"" width=""auto"" /><br><br>Từ QL1A ""Cầu vượt Bình Phước"" - Tô Ngọc Vân",https://doc-0s-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/8rj65bi60pto8rjoe6af4egjks/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALoEtDP-olnPKkVQYN-uVHZ0-tm0vSSu-4HT50Ln_HY0yADQEQMvmHE-VizE7otVmnPIw83gPd9R95wkb1ml1fUgfmGSh4g2LXyZfSwdHaF-54mv1uS-W-OM6HZoHuKN8_p-2z9efMiF-LO-TuMhEKGwhHOlZcBxm7lYiV2YUMxlp3HIKJX-Hrlvqnx_sq6s2OZhgZ8VhkIvctRvUkuR0q1vNt2cUm2V8cjDHyZyLRWSby4Xw-pOuiGCZ9zdECxluBrM7F7GHsywe6LdvlgX_f6lGeptog?fife
106.751951,10.8509533,Đường Dương Văn Cam,"<img src=""https://doc-0g-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/2qdku6l0vusumorpm7k404totk/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALpWxTHQe2nH5ZhR6T7yRDflKr050abyXXo6KHD_zLliG0c6BaOMMv3ovKWyWiTBUvDmqPmFaWOfpRd0toWYl0qoIqIEeS6YTiBVNIsic3NOG3u9zvlV6D2h5bm64p-JhCOnHhzyaKu7gkFC0rPfjjD92BySiX739AMNu5rOjtiB1WcQ0GU-0RN_yHeB445o5VqpadFFlPb_DDbMRGb55-sZUIqmQGlNeQPIisSIRZCSnZ2Ph_eeVTzLIK7Yqy-w7myBCQx7LNYXboh3lQ2WQEodKMsnLg?fife"" height=""200"" width=""auto"" /><br><br>Từ Kha Vạn Cân - Lê Văn Tách",https://doc-0g-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/2qdku6l0vusumorpm7k404totk/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALpWxTHQe2nH5ZhR6T7yRDflKr050abyXXo6KHD_zLliG0c6BaOMMv3ovKWyWiTBUvDmqPmFaWOfpRd0toWYl0qoIqIEeS6YTiBVNIsic3NOG3u9zvlV6D2h5bm64p-JhCOnHhzyaKu7gkFC0rPfjjD92BySiX739AMNu5rOjtiB1WcQ0GU-0RN_yHeB445o5VqpadFFlPb_DDbMRGb55-sZUIqmQGlNeQPIisSIRZCSnZ2Ph_eeVTzLIK7Yqy-w7myBCQx7LNYXboh3lQ2WQEodKMsnLg?fife
106.7531419,10.8505266,Đường Đặng Thị Rành,"<img src=""https://doc-08-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/clthvn0kggm74ooektjg2o4d3c/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALr7WwsjJwSjrckdoKNAJNV2AIRHetPKQcN-vsYrU7_49QshiJBDhSuThhYXd3hZ-u5TXsn1ahQlW8pYLToq5rr1uhV9xL5e5YcIvpM1rJIAnwKYxyRsqd5Ny9n3YkzTujyllAqur9yWfqwW5gpMvLjCCfas2Vkud1qIJMBKSsVKD_p5_kvniUGMnT7FDzmUwSh3BXcVcLp85XD5wFXp1dQNKvlvx7ESyM2yvA2d5Byd-NPepd0hkoqXlwarBjfaUr3FvVj4r8EmjNs3z6Pjy3jBFXlbZg?fife"" height=""200"" width=""auto"" /><br><br>Từ Tô Ngọc Vân - Dương Văn Cam",https://doc-08-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/clthvn0kggm74ooektjg2o4d3c/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALr7WwsjJwSjrckdoKNAJNV2AIRHetPKQcN-vsYrU7_49QshiJBDhSuThhYXd3hZ-u5TXsn1ahQlW8pYLToq5rr1uhV9xL5e5YcIvpM1rJIAnwKYxyRsqd5Ny9n3YkzTujyllAqur9yWfqwW5gpMvLjCCfas2Vkud1qIJMBKSsVKD_p5_kvniUGMnT7FDzmUwSh3BXcVcLp85XD5wFXp1dQNKvlvx7ESyM2yvA2d5Byd-NPepd0hkoqXlwarBjfaUr3FvVj4r8EmjNs3z6Pjy3jBFXlbZg?fife
106.7551481,10.8475605,Đường Hồ Văn Tư,"<img src=""https://doc-0c-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/bu1umgaavh9fbdaj09b7qqkaro/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALrbMl3Xh5z2dnSrEg6UZfzQDv77Vo_ITDr6TyN5AmHJ_MxEpl6PyV1kPSdFkrV90nkTlFvaj1uOOxSeRMLcBrKxp1nQKnxKhKvjqXObWtHl_hEuUq7UAXYmF_4_EOy39m8Fh4dxNdaQ5CPY05Mj3vYrxkjVQkz8u8J50vZEGiytakGMSv9wbaFW0dBh_PB50Vwcr8q1MWAXRPsCBb79J2iW2GABHaEsCWBw3kV9ZGOGeTYoyc4Md4XNJDJBJxYLQrfR12OmGRwBogTrPb_dMvuPP964Pg?fife"" height=""200"" width=""auto"" /><br><br>Từ số nhà 118 - CX Cầu Ngang",https://doc-0c-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/bu1umgaavh9fbdaj09b7qqkaro/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALrbMl3Xh5z2dnSrEg6UZfzQDv77Vo_ITDr6TyN5AmHJ_MxEpl6PyV1kPSdFkrV90nkTlFvaj1uOOxSeRMLcBrKxp1nQKnxKhKvjqXObWtHl_hEuUq7UAXYmF_4_EOy39m8Fh4dxNdaQ5CPY05Mj3vYrxkjVQkz8u8J50vZEGiytakGMSv9wbaFW0dBh_PB50Vwcr8q1MWAXRPsCBb79J2iW2GABHaEsCWBw3kV9ZGOGeTYoyc4Md4XNJDJBJxYLQrfR12OmGRwBogTrPb_dMvuPP964Pg?fife
106.7508915,10.8521783,Đường Lê Văn Tách,"<img src=""https://doc-0c-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/jaijqefq59bkvl09s7smg2cfrg/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALoapOPgFqP0qgG3kI-_hFphONw5ARZRbhHy0FqMvcnseL7vghKTY7DEJK_AZD3Mquy6DYCKhmk390CBLt8kyHkJLTW845tsfXo4fP_8K1D1zSuREDn2iAkknoKkxGHctcUilgPj2RneqLs4AW9c1rJGtZLZc36RVMrc2qTohnDmc_2Q_ZBomJCKPhk42XTTFzUp5ix0hmlhj4FOk4NfeVuJT1pY2e54WxBr0hj5P8JqrdNP2s9Ke5-n4PTEnPf0nb_Q48hJ9WK-OxXYLB8viH5iUtbBQQ?fife"" height=""200"" width=""auto"" /><br><br>Từ số nhà 3 - Dương Văn Cam",https://doc-0c-8o-mymaps.googleusercontent.com/untrusted/hostedimage/6rjk2b29e109njn18ustq7m1so/jaijqefq59bkvl09s7smg2cfrg/1567857600000/KiOb-nV_MFqrZN6H-TMx_I2AJHOOJMr6/06909400017064092312/1AF2TALoapOPgFqP0qgG3kI-_hFphONw5ARZRbhHy0FqMvcnseL7vghKTY7DEJK_AZD3Mquy6DYCKhmk390CBLt8kyHkJLTW845tsfXo4fP_8K1D1zSuREDn2iAkknoKkxGHctcUilgPj2RneqLs4AW9c1rJGtZLZc36RVMrc2qTohnDmc_2Q_ZBomJCKPhk42XTTFzUp5ix0hmlhj4FOk4NfeVuJT1pY2e54WxBr0hj5P8JqrdNP2s9Ke5-n4PTEnPf0nb_Q48hJ9WK-OxXYLB8viH5iUtbBQQ?fife
